Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
395024567,1243,cuModuleGetLoadingMode,0,1,170034,170034,0,MPI Rank 0
48278534601,312421910,cudaHostRegister,0,126,170034,170034,0,MPI Rank 0
48594121034,319376,cudaHostRegister,0,127,170034,170034,0,MPI Rank 0
48669953639,1193,cuGetProcAddress_v2,0,155,170034,170034,0,MPI Rank 0
48669956585,621,cuGetProcAddress_v2,0,156,170034,170034,0,MPI Rank 0
48669957356,131,cuGetProcAddress_v2,0,157,170034,170034,0,MPI Rank 0
48669957607,471,cuGetProcAddress_v2,0,158,170034,170034,0,MPI Rank 0
48669958298,421,cuGetProcAddress_v2,0,159,170034,170034,0,MPI Rank 0
48669958839,411,cuGetProcAddress_v2,0,160,170034,170034,0,MPI Rank 0
48669959470,481,cuGetProcAddress_v2,0,161,170034,170034,0,MPI Rank 0
48669961534,641,cuGetProcAddress_v2,0,162,170034,170034,0,MPI Rank 0
48669962416,401,cuGetProcAddress_v2,0,163,170034,170034,0,MPI Rank 0
48669963027,441,cuGetProcAddress_v2,0,164,170034,170034,0,MPI Rank 0
48669963588,481,cuGetProcAddress_v2,0,165,170034,170034,0,MPI Rank 0
48669964209,531,cuGetProcAddress_v2,0,166,170034,170034,0,MPI Rank 0
48669966363,571,cuGetProcAddress_v2,0,167,170034,170034,0,MPI Rank 0
48669967075,1873,cuGetProcAddress_v2,0,168,170034,170034,0,MPI Rank 0
48669969198,1894,cuGetProcAddress_v2,0,169,170034,170034,0,MPI Rank 0
48669971232,331,cuGetProcAddress_v2,0,170,170034,170034,0,MPI Rank 0
48669971713,281,cuGetProcAddress_v2,0,171,170034,170034,0,MPI Rank 0
48669972224,521,cuGetProcAddress_v2,0,172,170034,170034,0,MPI Rank 0
48669972865,311,cuGetProcAddress_v2,0,173,170034,170034,0,MPI Rank 0
48669973316,471,cuGetProcAddress_v2,0,174,170034,170034,0,MPI Rank 0
48669974098,380,cuGetProcAddress_v2,0,175,170034,170034,0,MPI Rank 0
48669974609,260,cuGetProcAddress_v2,0,176,170034,170034,0,MPI Rank 0
48669975089,511,cuGetProcAddress_v2,0,177,170034,170034,0,MPI Rank 0
48669975971,531,cuGetProcAddress_v2,0,178,170034,170034,0,MPI Rank 0
48669976652,281,cuGetProcAddress_v2,0,179,170034,170034,0,MPI Rank 0
48669977153,321,cuGetProcAddress_v2,0,180,170034,170034,0,MPI Rank 0
48669977614,211,cuGetProcAddress_v2,0,181,170034,170034,0,MPI Rank 0
48669977965,240,cuGetProcAddress_v2,0,182,170034,170034,0,MPI Rank 0
48669978426,270,cuGetProcAddress_v2,0,183,170034,170034,0,MPI Rank 0
48669978816,291,cuGetProcAddress_v2,0,184,170034,170034,0,MPI Rank 0
48669979327,301,cuGetProcAddress_v2,0,185,170034,170034,0,MPI Rank 0
48669979768,281,cuGetProcAddress_v2,0,186,170034,170034,0,MPI Rank 0
48669980199,281,cuGetProcAddress_v2,0,187,170034,170034,0,MPI Rank 0
