Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
391139005,1242,cuModuleGetLoadingMode,0,1,168379,168379,0,MPI Rank 0
571203050,412393638,cudaHostRegister,0,126,168379,168379,0,MPI Rank 0
986881585,4620960,cudaHostRegister,0,127,168379,168379,0,MPI Rank 0
1067097241,1182,cuGetProcAddress_v2,0,155,168379,168379,0,MPI Rank 0
1067100217,601,cuGetProcAddress_v2,0,156,168379,168379,0,MPI Rank 0
1067100988,151,cuGetProcAddress_v2,0,157,168379,168379,0,MPI Rank 0
1067101259,521,cuGetProcAddress_v2,0,158,168379,168379,0,MPI Rank 0
1067102000,431,cuGetProcAddress_v2,0,159,168379,168379,0,MPI Rank 0
1067102551,421,cuGetProcAddress_v2,0,160,168379,168379,0,MPI Rank 0
1067103192,491,cuGetProcAddress_v2,0,161,168379,168379,0,MPI Rank 0
1067105286,651,cuGetProcAddress_v2,0,162,168379,168379,0,MPI Rank 0
1067106108,401,cuGetProcAddress_v2,0,163,168379,168379,0,MPI Rank 0
1067106749,531,cuGetProcAddress_v2,0,164,168379,168379,0,MPI Rank 0
1067107400,401,cuGetProcAddress_v2,0,165,168379,168379,0,MPI Rank 0
1067107941,471,cuGetProcAddress_v2,0,166,168379,168379,0,MPI Rank 0
1067110045,631,cuGetProcAddress_v2,0,167,168379,168379,0,MPI Rank 0
1067110797,2244,cuGetProcAddress_v2,0,168,168379,168379,0,MPI Rank 0
1067113291,1904,cuGetProcAddress_v2,0,169,168379,168379,0,MPI Rank 0
1067115335,351,cuGetProcAddress_v2,0,170,168379,168379,0,MPI Rank 0
1067115896,411,cuGetProcAddress_v2,0,171,168379,168379,0,MPI Rank 0
1067116557,451,cuGetProcAddress_v2,0,172,168379,168379,0,MPI Rank 0
1067117148,341,cuGetProcAddress_v2,0,173,168379,168379,0,MPI Rank 0
1067117599,481,cuGetProcAddress_v2,0,174,168379,168379,0,MPI Rank 0
1067118301,541,cuGetProcAddress_v2,0,175,168379,168379,0,MPI Rank 0
1067118982,300,cuGetProcAddress_v2,0,176,168379,168379,0,MPI Rank 0
1067119513,861,cuGetProcAddress_v2,0,177,168379,168379,0,MPI Rank 0
1067120505,461,cuGetProcAddress_v2,0,178,168379,168379,0,MPI Rank 0
1067121146,320,cuGetProcAddress_v2,0,179,168379,168379,0,MPI Rank 0
1067121677,421,cuGetProcAddress_v2,0,180,168379,168379,0,MPI Rank 0
1067122218,270,cuGetProcAddress_v2,0,181,168379,168379,0,MPI Rank 0
1067122609,250,cuGetProcAddress_v2,0,182,168379,168379,0,MPI Rank 0
1067123069,251,cuGetProcAddress_v2,0,183,168379,168379,0,MPI Rank 0
1067123440,421,cuGetProcAddress_v2,0,184,168379,168379,0,MPI Rank 0
1067124081,301,cuGetProcAddress_v2,0,185,168379,168379,0,MPI Rank 0
1067124522,311,cuGetProcAddress_v2,0,186,168379,168379,0,MPI Rank 0
1067124993,301,cuGetProcAddress_v2,0,187,168379,168379,0,MPI Rank 0
1067125514,411,cuGetProcAddress_v2,0,188,168379,168379,0,MPI Rank 0
1067126065,311,cuGetProcAddress_v2,0,189,168379,168379,0,MPI Rank 0
1067126516,310,cuGetProcAddress_v2,0,190,168379,168379,0,MPI Rank 0
