Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
524427749,1252,cuModuleGetLoadingMode,0,1,167960,167960,0,MPI Rank 0
29442558948,325891422,cudaHostRegister,0,126,167960,167960,0,MPI Rank 0
29772130324,300801,cudaHostRegister,0,127,167960,167960,0,MPI Rank 0
29846236874,1242,cuGetProcAddress_v2,0,155,167960,167960,0,MPI Rank 0
29846239759,571,cuGetProcAddress_v2,0,156,167960,167960,0,MPI Rank 0
29846240470,120,cuGetProcAddress_v2,0,157,167960,167960,0,MPI Rank 0
29846240701,471,cuGetProcAddress_v2,0,158,167960,167960,0,MPI Rank 0
29846241392,321,cuGetProcAddress_v2,0,159,167960,167960,0,MPI Rank 0
29846241823,411,cuGetProcAddress_v2,0,160,167960,167960,0,MPI Rank 0
29846242444,551,cuGetProcAddress_v2,0,161,167960,167960,0,MPI Rank 0
29846244588,531,cuGetProcAddress_v2,0,162,167960,167960,0,MPI Rank 0
29846245279,381,cuGetProcAddress_v2,0,163,167960,167960,0,MPI Rank 0
29846245870,451,cuGetProcAddress_v2,0,164,167960,167960,0,MPI Rank 0
29846246461,471,cuGetProcAddress_v2,0,165,167960,167960,0,MPI Rank 0
29846247032,461,cuGetProcAddress_v2,0,166,167960,167960,0,MPI Rank 0
29846249026,461,cuGetProcAddress_v2,0,167,167960,167960,0,MPI Rank 0
29846249597,1974,cuGetProcAddress_v2,0,168,167960,167960,0,MPI Rank 0
29846251821,1834,cuGetProcAddress_v2,0,169,167960,167960,0,MPI Rank 0
29846253815,421,cuGetProcAddress_v2,0,170,167960,167960,0,MPI Rank 0
29846254386,271,cuGetProcAddress_v2,0,171,167960,167960,0,MPI Rank 0
29846254887,531,cuGetProcAddress_v2,0,172,167960,167960,0,MPI Rank 0
29846255518,311,cuGetProcAddress_v2,0,173,167960,167960,0,MPI Rank 0
29846255929,461,cuGetProcAddress_v2,0,174,167960,167960,0,MPI Rank 0
29846256610,461,cuGetProcAddress_v2,0,175,167960,167960,0,MPI Rank 0
29846257201,331,cuGetProcAddress_v2,0,176,167960,167960,0,MPI Rank 0
29846257742,311,cuGetProcAddress_v2,0,177,167960,167960,0,MPI Rank 0
29846258193,521,cuGetProcAddress_v2,0,178,167960,167960,0,MPI Rank 0
29846258855,270,cuGetProcAddress_v2,0,179,167960,167960,0,MPI Rank 0
29846259345,351,cuGetProcAddress_v2,0,180,167960,167960,0,MPI Rank 0
29846259826,281,cuGetProcAddress_v2,0,181,167960,167960,0,MPI Rank 0
29846260247,331,cuGetProcAddress_v2,0,182,167960,167960,0,MPI Rank 0
29846260798,331,cuGetProcAddress_v2,0,183,167960,167960,0,MPI Rank 0
29846261259,451,cuGetProcAddress_v2,0,184,167960,167960,0,MPI Rank 0
29846261910,291,cuGetProcAddress_v2,0,185,167960,167960,0,MPI Rank 0
29846262331,281,cuGetProcAddress_v2,0,186,167960,167960,0,MPI Rank 0
29846262762,381,cuGetProcAddress_v2,0,187,167960,167960,0,MPI Rank 0
29846263363,691,cuGetProcAddress_v2,0,188,167960,167960,0,MPI Rank 0
29846264184,281,cuGetProcAddress_v2,0,189,167960,167960,0,MPI Rank 0
29846264615,281,cuGetProcAddress_v2,0,190,167960,167960,0,MPI Rank 0
29846265116,421,cuGetProcAddress_v2,0,191,167960,167960,0,MPI Rank 0
29846265677,191,cuGetProcAddress_v2,0,192,167960,167960,0,MPI Rank 0
29846266088,381,cuGetProcAddress_v2,0,193,167960,167960,0,MPI Rank 0
29846266569,531,cuGetProcAddress_v2,0,194,167960,167960,0,MPI Rank 0
29846267210,301,cuGetProcAddress_v2,0,195,167960,167960,0,MPI Rank 0
29846267741,371,cuGetProcAddress_v2,0,196,167960,167960,0,MPI Rank 0
29846268252,281,cuGetProcAddress_v2,0,197,167960,167960,0,MPI Rank 0
29846268663,391,cuGetProcAddress_v2,0,198,167960,167960,0,MPI Rank 0
29846269254,371,cuGetProcAddress_v2,0,199,167960,167960,0,MPI Rank 0
29846269725,421,cuGetProcAddress_v2,0,200,167960,167960,0,MPI Rank 0
29846270366,401,cuGetProcAddress_v2,0,201,167960,167960,0,MPI Rank 0
29846270877,230,cuGetProcAddress_v2,0,202,167960,167960,0,MPI Rank 0
29846271248,200,cuGetProcAddress_v2,0,203,167960,167960,0,MPI Rank 0
29846271668,391,cuGetProcAddress_v2,0,204,167960,167960,0,MPI Rank 0
29846272189,241,cuGetProcAddress_v2,0,205,167960,167960,0,MPI Rank 0
29846272540,251,cuGetProcAddress_v2,0,206,167960,167960,0,MPI Rank 0
29846272991,391,cuGetProcAddress_v2,0,207,167960,167960,0,MPI Rank 0
29846273522,270,cuGetProcAddress_v2,0,208,167960,167960,0,MPI Rank 0
29846274023,250,cuGetProcAddress_v2,0,209,167960,167960,0,MPI Rank 0
29846274383,251,cuGetProcAddress_v2,0,210,167960,167960,0,MPI Rank 0
29846274754,291,cuGetProcAddress_v2,0,211,167960,167960,0,MPI Rank 0
29846275275,361,cuGetProcAddress_v2,0,212,167960,167960,0,MPI Rank 0
29846275746,271,cuGetProcAddress_v2,0,213,167960,167960,0,MPI Rank 0
29846276127,320,cuGetProcAddress_v2,0,214,167960,167960,0,MPI Rank 0
29846276668,230,cuGetProcAddress_v2,0,215,167960,167960,0,MPI Rank 0
29846277008,311,cuGetProcAddress_v2,0,216,167960,167960,0,MPI Rank 0
29846277539,401,cuGetProcAddress_v2,0,217,167960,167960,0,MPI Rank 0
29846278050,311,cuGetProcAddress_v2,0,218,167960,167960,0,MPI Rank 0
29846278481,211,cuGetProcAddress_v2,0,219,167960,167960,0,MPI Rank 0
29846278912,711,cuGetProcAddress_v2,0,220,167960,167960,0,MPI Rank 0
29846279723,321,cuGetProcAddress_v2,0,221,167960,167960,0,MPI Rank 0
29846280144,241,cuGetProcAddress_v2,0,222,167960,167960,0,MPI Rank 0
29846280605,361,cuGetProcAddress_v2,0,223,167960,167960,0,MPI Rank 0
29846281076,220,cuGetProcAddress_v2,0,224,167960,167960,0,MPI Rank 0
29846281517,360,cuGetProcAddress_v2,0,225,167960,167960,0,MPI Rank 0
29846281988,330,cuGetProcAddress_v2,0,226,167960,167960,0,MPI Rank 0
29846282428,271,cuGetProcAddress_v2,0,227,167960,167960,0,MPI Rank 0
29846282919,361,cuGetProcAddress_v2,0,228,167960,167960,0,MPI Rank 0
29846283390,221,cuGetProcAddress_v2,0,229,167960,167960,0,MPI Rank 0
29846283721,431,cuGetProcAddress_v2,0,230,167960,167960,0,MPI Rank 0
29846284362,331,cuGetProcAddress_v2,0,231,167960,167960,0,MPI Rank 0
29846284803,210,cuGetProcAddress_v2,0,232,167960,167960,0,MPI Rank 0
29846285234,511,cuGetProcAddress_v2,0,233,167960,167960,0,MPI Rank 0
29846285855,441,cuGetProcAddress_v2,0,234,167960,167960,0,MPI Rank 0
29846286416,341,cuGetProcAddress_v2,0,235,167960,167960,0,MPI Rank 0
29846286967,471,cuGetProcAddress_v2,0,236,167960,167960,0,MPI Rank 0
29846287538,190,cuGetProcAddress_v2,0,237,167960,167960,0,MPI Rank 0
29846287839,310,cuGetProcAddress_v2,0,238,167960,167960,0,MPI Rank 0
29846288370,270,cuGetProcAddress_v2,0,239,167960,167960,0,MPI Rank 0
29846290213,150,cuGetProcAddress_v2,0,240,167960,167960,0,MPI Rank 0
29846290584,240,cuGetProcAddress_v2,0,241,167960,167960,0,MPI Rank 0
29846290964,311,cuGetProcAddress_v2,0,242,167960,167960,0,MPI Rank 0
29846291385,261,cuGetProcAddress_v2,0,243,167960,167960,0,MPI Rank 0
29846291856,220,cuGetProcAddress_v2,0,244,167960,167960,0,MPI Rank 0
29846292197,280,cuGetProcAddress_v2,0,245,167960,167960,0,MPI Rank 0
29846292587,261,cuGetProcAddress_v2,0,246,167960,167960,0,MPI Rank 0
29846293299,270,cuGetProcAddress_v2,0,247,167960,167960,0,MPI Rank 0
29846293710,500,cuGetProcAddress_v2,0,248,167960,167960,0,MPI Rank 0
29846294421,280,cuGetProcAddress_v2,0,249,167960,167960,0,MPI Rank 0
29846294842,140,cuGetProcAddress_v2,0,250,167960,167960,0,MPI Rank 0
29846295122,311,cuGetProcAddress_v2,0,251,167960,167960,0,MPI Rank 0
