Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
394779909,1242,cuModuleGetLoadingMode,0,1,168673,168673,0,MPI Rank 0
19511133018,342304163,cudaHostRegister,0,126,168673,168673,0,MPI Rank 0
19856665674,307033,cudaHostRegister,0,127,168673,168673,0,MPI Rank 0
19936705174,1553,cuGetProcAddress_v2,0,155,168673,168673,0,MPI Rank 0
19936708480,661,cuGetProcAddress_v2,0,156,168673,168673,0,MPI Rank 0
19936709282,160,cuGetProcAddress_v2,0,157,168673,168673,0,MPI Rank 0
19936709562,521,cuGetProcAddress_v2,0,158,168673,168673,0,MPI Rank 0
19936710303,401,cuGetProcAddress_v2,0,159,168673,168673,0,MPI Rank 0
19936710824,401,cuGetProcAddress_v2,0,160,168673,168673,0,MPI Rank 0
19936711446,571,cuGetProcAddress_v2,0,161,168673,168673,0,MPI Rank 0
19936713680,972,cuGetProcAddress_v2,0,162,168673,168673,0,MPI Rank 0
19936714812,391,cuGetProcAddress_v2,0,163,168673,168673,0,MPI Rank 0
19936715423,461,cuGetProcAddress_v2,0,164,168673,168673,0,MPI Rank 0
19936716004,471,cuGetProcAddress_v2,0,165,168673,168673,0,MPI Rank 0
19936716615,451,cuGetProcAddress_v2,0,166,168673,168673,0,MPI Rank 0
19936718679,501,cuGetProcAddress_v2,0,167,168673,168673,0,MPI Rank 0
19936719320,1914,cuGetProcAddress_v2,0,168,168673,168673,0,MPI Rank 0
19936721474,1794,cuGetProcAddress_v2,0,169,168673,168673,0,MPI Rank 0
19936723408,391,cuGetProcAddress_v2,0,170,168673,168673,0,MPI Rank 0
19936723959,300,cuGetProcAddress_v2,0,171,168673,168673,0,MPI Rank 0
19936724480,531,cuGetProcAddress_v2,0,172,168673,168673,0,MPI Rank 0
19936725121,421,cuGetProcAddress_v2,0,173,168673,168673,0,MPI Rank 0
19936725662,381,cuGetProcAddress_v2,0,174,168673,168673,0,MPI Rank 0
19936726263,481,cuGetProcAddress_v2,0,175,168673,168673,0,MPI Rank 0
19936726864,261,cuGetProcAddress_v2,0,176,168673,168673,0,MPI Rank 0
19936727345,451,cuGetProcAddress_v2,0,177,168673,168673,0,MPI Rank 0
19936727936,561,cuGetProcAddress_v2,0,178,168673,168673,0,MPI Rank 0
19936728658,280,cuGetProcAddress_v2,0,179,168673,168673,0,MPI Rank 0
19936729159,671,cuGetProcAddress_v2,0,180,168673,168673,0,MPI Rank 0
19936729950,271,cuGetProcAddress_v2,0,181,168673,168673,0,MPI Rank 0
19936730351,250,cuGetProcAddress_v2,0,182,168673,168673,0,MPI Rank 0
19936730812,380,cuGetProcAddress_v2,0,183,168673,168673,0,MPI Rank 0
19936731303,320,cuGetProcAddress_v2,0,184,168673,168673,0,MPI Rank 0
19936731854,290,cuGetProcAddress_v2,0,185,168673,168673,0,MPI Rank 0
19936732284,331,cuGetProcAddress_v2,0,186,168673,168673,0,MPI Rank 0
19936732785,321,cuGetProcAddress_v2,0,187,168673,168673,0,MPI Rank 0
19936733326,401,cuGetProcAddress_v2,0,188,168673,168673,0,MPI Rank 0
