Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
394994704,1202,cuModuleGetLoadingMode,0,1,169072,169072,0,MPI Rank 0
564551643,413647358,cudaHostRegister,0,126,169072,169072,0,MPI Rank 0
981288826,1390454,cudaHostRegister,0,127,169072,169072,0,MPI Rank 0
1061042465,1263,cuGetProcAddress_v2,0,155,169072,169072,0,MPI Rank 0
1061045471,581,cuGetProcAddress_v2,0,156,169072,169072,0,MPI Rank 0
1061046202,141,cuGetProcAddress_v2,0,157,169072,169072,0,MPI Rank 0
1061046453,491,cuGetProcAddress_v2,0,158,169072,169072,0,MPI Rank 0
1061047164,331,cuGetProcAddress_v2,0,159,169072,169072,0,MPI Rank 0
1061047615,461,cuGetProcAddress_v2,0,160,169072,169072,0,MPI Rank 0
1061048296,481,cuGetProcAddress_v2,0,161,169072,169072,0,MPI Rank 0
1061050490,882,cuGetProcAddress_v2,0,162,169072,169072,0,MPI Rank 0
1061051863,521,cuGetProcAddress_v2,0,163,169072,169072,0,MPI Rank 0
1061052604,531,cuGetProcAddress_v2,0,164,169072,169072,0,MPI Rank 0
1061053246,410,cuGetProcAddress_v2,0,165,169072,169072,0,MPI Rank 0
1061053787,591,cuGetProcAddress_v2,0,166,169072,169072,0,MPI Rank 0
1061055971,481,cuGetProcAddress_v2,0,167,169072,169072,0,MPI Rank 0
1061056592,1994,cuGetProcAddress_v2,0,168,169072,169072,0,MPI Rank 0
1061058826,1894,cuGetProcAddress_v2,0,169,169072,169072,0,MPI Rank 0
1061060850,350,cuGetProcAddress_v2,0,170,169072,169072,0,MPI Rank 0
1061061351,300,cuGetProcAddress_v2,0,171,169072,169072,0,MPI Rank 0
1061061882,551,cuGetProcAddress_v2,0,172,169072,169072,0,MPI Rank 0
1061062553,321,cuGetProcAddress_v2,0,173,169072,169072,0,MPI Rank 0
1061062994,471,cuGetProcAddress_v2,0,174,169072,169072,0,MPI Rank 0
1061063695,471,cuGetProcAddress_v2,0,175,169072,169072,0,MPI Rank 0
1061064306,231,cuGetProcAddress_v2,0,176,169072,169072,0,MPI Rank 0
1061065088,410,cuGetProcAddress_v2,0,177,169072,169072,0,MPI Rank 0
1061065619,571,cuGetProcAddress_v2,0,178,169072,169072,0,MPI Rank 0
1061066350,281,cuGetProcAddress_v2,0,179,169072,169072,0,MPI Rank 0
1061066961,431,cuGetProcAddress_v2,0,180,169072,169072,0,MPI Rank 0
1061067552,311,cuGetProcAddress_v2,0,181,169072,169072,0,MPI Rank 0
1061068003,331,cuGetProcAddress_v2,0,182,169072,169072,0,MPI Rank 0
1061068544,361,cuGetProcAddress_v2,0,183,169072,169072,0,MPI Rank 0
1061069025,421,cuGetProcAddress_v2,0,184,169072,169072,0,MPI Rank 0
1061069666,391,cuGetProcAddress_v2,0,185,169072,169072,0,MPI Rank 0
1061070187,301,cuGetProcAddress_v2,0,186,169072,169072,0,MPI Rank 0
1061070648,291,cuGetProcAddress_v2,0,187,169072,169072,0,MPI Rank 0
1061071169,321,cuGetProcAddress_v2,0,188,169072,169072,0,MPI Rank 0
1061071630,300,cuGetProcAddress_v2,0,189,169072,169072,0,MPI Rank 0
1061072071,380,cuGetProcAddress_v2,0,190,169072,169072,0,MPI Rank 0
1061072892,381,cuGetProcAddress_v2,0,191,169072,169072,0,MPI Rank 0
1061073413,130,cuGetProcAddress_v2,0,192,169072,169072,0,MPI Rank 0
