Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
395730923,1203,cuModuleGetLoadingMode,0,1,169301,169301,0,MPI Rank 0
47483140791,355242858,cudaHostRegister,0,126,169301,169301,0,MPI Rank 0
47841561157,307474,cudaHostRegister,0,127,169301,169301,0,MPI Rank 0
47920576114,1363,cuGetProcAddress_v2,0,155,169301,169301,0,MPI Rank 0
47920579210,591,cuGetProcAddress_v2,0,156,169301,169301,0,MPI Rank 0
47920579942,140,cuGetProcAddress_v2,0,157,169301,169301,0,MPI Rank 0
47920580212,561,cuGetProcAddress_v2,0,158,169301,169301,0,MPI Rank 0
47920580994,651,cuGetProcAddress_v2,0,159,169301,169301,0,MPI Rank 0
47920581765,391,cuGetProcAddress_v2,0,160,169301,169301,0,MPI Rank 0
47920582376,491,cuGetProcAddress_v2,0,161,169301,169301,0,MPI Rank 0
47920584400,551,cuGetProcAddress_v2,0,162,169301,169301,0,MPI Rank 0
47920585211,371,cuGetProcAddress_v2,0,163,169301,169301,0,MPI Rank 0
47920585813,350,cuGetProcAddress_v2,0,164,169301,169301,0,MPI Rank 0
47920586293,471,cuGetProcAddress_v2,0,165,169301,169301,0,MPI Rank 0
47920586895,551,cuGetProcAddress_v2,0,166,169301,169301,0,MPI Rank 0
47920589018,552,cuGetProcAddress_v2,0,167,169301,169301,0,MPI Rank 0
47920589710,2044,cuGetProcAddress_v2,0,168,169301,169301,0,MPI Rank 0
47920592004,1894,cuGetProcAddress_v2,0,169,169301,169301,0,MPI Rank 0
47920594038,411,cuGetProcAddress_v2,0,170,169301,169301,0,MPI Rank 0
47920594589,280,cuGetProcAddress_v2,0,171,169301,169301,0,MPI Rank 0
47920595100,531,cuGetProcAddress_v2,0,172,169301,169301,0,MPI Rank 0
47920595741,321,cuGetProcAddress_v2,0,173,169301,169301,0,MPI Rank 0
47920596172,391,cuGetProcAddress_v2,0,174,169301,169301,0,MPI Rank 0
47920596783,701,cuGetProcAddress_v2,0,175,169301,169301,0,MPI Rank 0
47920597625,220,cuGetProcAddress_v2,0,176,169301,169301,0,MPI Rank 0
47920598065,441,cuGetProcAddress_v2,0,177,169301,169301,0,MPI Rank 0
47920598636,812,cuGetProcAddress_v2,0,178,169301,169301,0,MPI Rank 0
