init;1;0.00002933;0.00090854;0.00002933;1;0.00002859;0.00003014;0.00000078;1;1
setup;1;0.14184865;4.39441099;0.14184865;1;0.14097989;0.14260938;0.00067306;1;1
Field ;2;0.06975403;2.16095030;0.06975403;1;0.06759318;0.07126919;0.00162863;1;1
alloc_SwitchTopos field;3;0.00818832;0.25367073;0.00818832;1;0.00806621;0.00829101;0.00011169;1;1
alloc_data;3;0.00110659;0.03428157;0.00110659;1;0.00072780;0.00152950;0.00042580;1;1
alloc_plans;3;0.06045343;1.87282148;0.06045343;1;0.05873849;0.06166789;0.00125230;1;1
alloc_data;2;0.00039629;0.01227697;0.00039629;1;0.00038198;0.00040854;0.00001104;1;1
green;2;0.07169372;2.22104094;0.07169372;1;0.07091102;0.07381087;0.00141438;1;1
green Switchtopos;3;0.00460795;0.14275240;0.00460795;1;0.00370488;0.00538249;0.00069625;1;1
green deallocation;3;0.00347117;0.10753534;0.00347117;1;0.00252830;0.00506404;0.00113510;1;1
green_final;3;0.00000025;0.00000784;0.00000025;1;0.00000023;0.00000026;0.00000002;1;1
green_func;3;0.06360064;1.97032082;0.06360064;1;0.06301230;0.06418411;0.00054126;1;1
green_plan;3;0.00000031;0.00000947;0.00000031;1;0.00000024;0.00000036;0.00000006;1;1
solve;1;3.00396556;93.06157783;0.30039656;10;2.87700806;3.08692317;0.08942628;10;10
SwitchTopo;2;1.79182739;55.51005176;0.02986379;60;1.70091638;1.84856500;0.06359172;60;60
Switchtopo0_backward;3;0.08588170;2.66057856;0.00858817;10;0.08550772;0.08644730;0.00040746;10;10
send/recv;4;0.08587259;2.66029634;0.00858726;10;0.08550239;0.08644187;0.00040808;10;10
pre-send;5;0.05130855;1.58951713;0.00513086;10;0.05116068;0.05162201;0.00021558;10;10
copy;6;0.00007158;0.00221754;0.00000716;10;0.00005701;0.00011300;0.00002762;10;10
start;6;0.01177349;0.36473774;0.00058867;20;0.01174430;0.01184903;0.00005044;20;20
while loop;5;0.03455768;1.07058229;0.00345577;10;0.03433721;0.03481613;0.00019945;10;10
copy;6;0.00007427;0.00230073;0.00000743;10;0.00005783;0.00011921;0.00002998;10;10
shuffle;6;0.00000085;0.00002640;0.00000009;10;0.00000067;0.00000119;0.00000023;10;10
start;6;0.00000000;0.00000000;0.00000000;0;0.00000000;0.00000000;0.00000000;0;0
Switchtopo0_forward;3;0.07596831;2.35346600;0.00759683;10;0.07532419;0.07655101;0.00054405;10;10
send/recv;4;0.07595796;2.35314536;0.00759580;10;0.07531340;0.07654325;0.00054475;10;10
pre-send;5;0.04020792;1.24562433;0.00402079;10;0.04002629;0.04043521;0.00020445;10;10
copy;6;0.00020099;0.00622657;0.00002010;10;0.00014730;0.00030668;0.00007166;10;10
start;6;0.01195995;0.37051407;0.00059800;20;0.01188101;0.01211801;0.00010701;20;20
while loop;5;0.03574314;1.10730734;0.00357431;10;0.03527914;0.03610277;0.00035411;10;10
copy;6;0.00008916;0.00276203;0.00000892;10;0.00006950;0.00014356;0.00003633;10;10
shuffle;6;0.00000401;0.00012431;0.00000040;10;0.00000326;0.00000480;0.00000067;10;10
start;6;0.00000000;0.00000000;0.00000000;0;0.00000000;0.00000000;0.00000000;0;0
Switchtopo1_backward;3;0.40526770;12.55502136;0.04052677;10;0.33772668;0.47272496;0.05725356;10;10
send/recv;4;0.40521982;12.55353790;0.04052198;10;0.33767807;0.47267703;0.05725367;10;10
pre-send;5;0.02579212;0.79902894;0.00257921;10;0.02558455;0.02616851;0.00026469;10;10
copy;6;0.00008101;0.00250955;0.00000810;10;0.00006688;0.00011718;0.00002416;10;10
start;6;0.00007622;0.00236125;0.00000381;20;0.00004902;0.00013749;0.00004154;20;20
while loop;5;0.37942188;11.75432867;0.03794219;10;0.31203470;0.44689045;0.05726240;10;10
copy;6;0.00022072;0.00683794;0.00000736;30;0.00017490;0.00035441;0.00008913;30;30
shuffle;6;0.00031798;0.00985090;0.00001590;20;0.00024179;0.00053665;0.00014580;20;20
start;6;0.00601855;0.18645220;0.00060186;10;0.00598972;0.00603648;0.00002096;10;10
Switchtopo1_forward;3;0.38900045;12.05106874;0.03890004;10;0.33612225;0.47085662;0.05966407;10;10
send/recv;4;0.38891238;12.04834052;0.03889124;10;0.33604511;0.47075251;0.05965262;10;10
pre-send;5;0.02875329;0.89076459;0.00287533;10;0.02843463;0.02897004;0.00023623;10;10
copy;6;0.00008136;0.00252041;0.00000814;10;0.00006350;0.00012861;0.00003154;10;10
start;6;0.00383586;0.11883338;0.00019179;20;0.00374316;0.00393461;0.00009044;20;20
while loop;5;0.36015384;11.15741302;0.03601538;10;0.30706998;0.44231225;0.05985229;10;10
copy;6;0.00023237;0.00719882;0.00000775;30;0.00018046;0.00037545;0.00009545;30;30
shuffle;6;0.00039916;0.01236568;0.00001996;20;0.00030677;0.00064893;0.00016688;20;20
start;6;0.00603808;0.18705705;0.00060381;10;0.00599659;0.00606706;0.00002967;10;10
Switchtopo2_backward;3;0.37658882;11.66656170;0.03765888;10;0.35488332;0.39913766;0.02349064;10;10
send/recv;4;0.37653889;11.66501499;0.03765389;10;0.35483407;0.39908793;0.02349058;10;10
pre-send;5;0.05137757;1.59165540;0.00513776;10;0.05104362;0.05184316;0.00036256;10;10
copy;6;0.00007161;0.00221845;0.00000716;10;0.00005621;0.00011335;0.00002785;10;10
start;6;0.00008695;0.00269365;0.00000435;20;0.00006231;0.00014294;0.00003764;20;20
while loop;5;0.32515620;10.07320090;0.03251562;10;0.30334837;0.34803890;0.02381363;10;10
copy;6;0.00022496;0.00696920;0.00000750;30;0.00017344;0.00036758;0.00009513;30;30
shuffle;6;0.00018046;0.00559064;0.00000902;20;0.00013482;0.00030116;0.00008070;20;20
start;6;0.00604943;0.18740877;0.00060494;10;0.00602758;0.00607287;0.00001989;10;10
Switchtopo2_forward;3;0.45895162;14.21812648;0.04589516;10;0.35690811;0.55998771;0.11659597;10;10
send/recv;4;0.45889793;14.21646293;0.04588979;10;0.35685368;0.55993652;0.11659598;10;10
pre-send;5;0.02772676;0.85896339;0.00277268;10;0.02603521;0.02867117;0.00117373;10;10
copy;6;0.00008176;0.00253285;0.00000818;10;0.00006389;0.00012738;0.00003053;10;10
start;6;0.00234504;0.07264848;0.00011725;20;0.00016451;0.00394376;0.00173547;20;20
while loop;5;0.43116500;13.35730866;0.04311650;10;0.32896996;0.53389550;0.11703216;10;10
copy;6;0.00023094;0.00715449;0.00000770;30;0.00017967;0.00036470;0.00008937;30;30
shuffle;6;0.00019564;0.00606082;0.00000978;20;0.00015048;0.00030559;0.00007395;20;20
start;6;0.00603025;0.18681448;0.00060302;10;0.00596771;0.00609115;0.00005404;10;10
