init;1;0.00002953;0.01736008;0.00002953;1;0.00002858;0.00003040;0.00000078;1;1
setup;1;0.11690353;68.71993737;0.11690353;1;0.11586925;0.11772305;0.00085926;1;1
Field ;2;0.06677740;39.25406122;0.06677740;1;0.06668143;0.06696002;0.00012889;1;1
alloc_SwitchTopos field;3;0.00280857;1.65097407;0.00280857;1;0.00271240;0.00296529;0.00011170;1;1
alloc_data;3;0.00019004;0.11171193;0.00019004;1;0.00016159;0.00020950;0.00002060;1;1
alloc_plans;3;0.06377301;37.48798150;0.06377301;1;0.06352035;0.06399620;0.00019531;1;1
alloc_data;2;0.00016066;0.09444135;0.00016066;1;0.00015291;0.00017144;0.00000844;1;1
green;2;0.04996010;29.36827592;0.04996010;1;0.04899575;0.05088476;0.00089801;1;1
green Switchtopos;3;0.00371180;2.18192491;0.00371180;1;0.00268523;0.00451852;0.00084347;1;1
green deallocation;3;0.00146940;0.86376190;0.00146940;1;0.00142628;0.00155809;0.00006067;1;1
green_final;3;0.00000022;0.00013094;0.00000022;1;0.00000020;0.00000024;0.00000002;1;1
green_func;3;0.04476516;26.31450639;0.04476516;1;0.04459711;0.04489451;0.00012904;1;1
green_plan;3;0.00000031;0.00018399;0.00000031;1;0.00000028;0.00000034;0.00000003;1;1
solve;1;0.05295316;31.12769871;0.00529532;10;0.05169514;0.05421677;0.00103229;10;10
SwitchTopo;2;0.03392255;19.94084800;0.00056538;60;0.03265856;0.03515161;0.00106405;60;60
Switchtopo0_backward;3;0.00237421;1.39564313;0.00023742;10;0.00233123;0.00248431;0.00007359;10;10
send/recv;4;0.00236958;1.39291955;0.00023696;10;0.00232736;0.00247833;0.00007268;10;10
pre-send;5;0.00130302;0.76596166;0.00013030;10;0.00128208;0.00135320;0.00003362;10;10
copy;6;0.00007028;0.04131419;0.00000703;10;0.00005473;0.00011132;0.00002746;10;10
start;6;0.00027698;0.16282106;0.00001385;20;0.00025760;0.00033208;0.00003674;20;20
while loop;5;0.00106278;0.62473823;0.00010628;10;0.00103817;0.00111869;0.00003752;10;10
copy;6;0.00007061;0.04150582;0.00000706;10;0.00005588;0.00011266;0.00002804;10;10
shuffle;6;0.00000051;0.00030141;0.00000005;10;0.00000047;0.00000057;0.00000004;10;10
start;6;0.00000000;0.00000000;0.00000000;0;0.00000000;0.00000000;0.00000000;0;0
Switchtopo0_forward;3;0.00215904;1.26915598;0.00021590;10;0.00209945;0.00232259;0.00010910;10;10
send/recv;4;0.00215344;1.26586601;0.00021534;10;0.00209462;0.00231529;0.00010796;10;10
pre-send;5;0.00107599;0.63250646;0.00010760;10;0.00103788;0.00117857;0.00006848;10;10
copy;6;0.00009479;0.05571805;0.00000948;10;0.00007365;0.00015511;0.00004024;10;10
start;6;0.00029853;0.17548493;0.00001493;20;0.00027461;0.00036292;0.00004297;20;20
while loop;5;0.00107373;0.63117457;0.00010737;10;0.00105101;0.00113253;0.00003932;10;10
copy;6;0.00007258;0.04266386;0.00000726;10;0.00005776;0.00011617;0.00002906;10;10
shuffle;6;0.00000075;0.00044220;0.00000008;10;0.00000061;0.00000084;0.00000010;10;10
start;6;0.00000000;0.00000000;0.00000000;0;0.00000000;0.00000000;0.00000000;0;0
Switchtopo1_backward;3;0.00677812;3.98441201;0.00067781;10;0.00675879;0.00682696;0.00003263;10;10
send/recv;4;0.00674033;3.96219878;0.00067403;10;0.00671654;0.00678908;0.00003295;10;10
pre-send;5;0.00075556;0.44414604;0.00007556;10;0.00074393;0.00076272;0.00000847;10;10
copy;6;0.00007104;0.04176227;0.00000710;10;0.00005568;0.00011483;0.00002920;10;10
start;6;0.00005055;0.02971430;0.00000253;20;0.00003278;0.00009094;0.00002758;20;20
while loop;5;0.00598031;3.51543349;0.00059803;10;0.00595419;0.00602532;0.00003223;10;10
copy;6;0.00021129;0.12420577;0.00000704;30;0.00017009;0.00032625;0.00007666;30;30
shuffle;6;0.00015482;0.09100590;0.00000774;20;0.00011714;0.00026371;0.00007261;20;20
start;6;0.00020077;0.11801940;0.00002008;10;0.00018024;0.00023986;0.00002660;10;10
Switchtopo1_forward;3;0.00804637;4.72993246;0.00080464;10;0.00720466;0.00891531;0.00093254;10;10
send/recv;4;0.00799357;4.69889685;0.00079936;10;0.00715587;0.00885879;0.00092802;10;10
pre-send;5;0.00111428;0.65500950;0.00011143;10;0.00107901;0.00117261;0.00004047;10;10
copy;6;0.00007630;0.04485222;0.00000763;10;0.00006151;0.00011923;0.00002862;10;10
start;6;0.00038584;0.22681185;0.00001929;20;0.00035185;0.00045804;0.00004868;20;20
while loop;5;0.00687560;4.04171589;0.00068756;10;0.00607325;0.00775297;0.00090308;10;10
copy;6;0.00021572;0.12680620;0.00000719;30;0.00017036;0.00034372;0.00008536;30;30
shuffle;6;0.00017125;0.10066843;0.00000856;20;0.00012760;0.00029277;0.00008112;20;20
start;6;0.00019632;0.11540427;0.00001963;10;0.00017676;0.00023448;0.00002590;10;10
Switchtopo2_backward;3;0.00697448;4.09983921;0.00069745;10;0.00679485;0.00717044;0.00017646;10;10
send/recv;4;0.00693205;4.07489563;0.00069320;10;0.00675363;0.00713141;0.00017891;10;10
pre-send;5;0.00106245;0.62454571;0.00010625;10;0.00101520;0.00109662;0.00003661;10;10
copy;6;0.00006964;0.04093944;0.00000696;10;0.00005621;0.00010944;0.00002653;10;10
start;6;0.00005246;0.03083560;0.00000262;20;0.00003555;0.00009175;0.00002655;20;20
while loop;5;0.00586504;3.44767218;0.00058650;10;0.00569741;0.00602944;0.00014926;10;10
copy;6;0.00020883;0.12275749;0.00000696;30;0.00016520;0.00032745;0.00007920;30;30
shuffle;6;0.00015902;0.09347863;0.00000795;20;0.00012157;0.00026853;0.00007301;20;20
start;6;0.00019890;0.11692118;0.00001989;10;0.00018343;0.00023968;0.00002722;10;10
Switchtopo2_forward;3;0.00751905;4.41995863;0.00075191;10;0.00710892;0.00785676;0.00036039;10;10
send/recv;4;0.00747615;4.39474185;0.00074762;10;0.00706606;0.00781140;0.00035997;10;10
pre-send;5;0.00089082;0.52365184;0.00008908;10;0.00075063;0.00097454;0.00010248;10;10
copy;6;0.00007548;0.04436784;0.00000755;10;0.00006238;0.00010973;0.00002287;10;10
start;6;0.00019803;0.11641123;0.00000990;20;0.00009012;0.00027407;0.00008937;20;20
while loop;5;0.00657943;3.86761781;0.00065794;10;0.00618360;0.00705694;0.00040134;10;10
copy;6;0.00021277;0.12507194;0.00000709;30;0.00016861;0.00033214;0.00007964;30;30
shuffle;6;0.00016069;0.09445781;0.00000803;20;0.00012220;0.00027208;0.00007427;20;20
start;6;0.00020049;0.11785319;0.00002005;10;0.00018466;0.00024454;0.00002941;10;10
copy rhs;2;0.01813817;10.66224451;0.00090691;20;0.01780878;0.01852242;0.00032322;20;20
domagic;2;0.00007783;0.04574955;0.00000778;10;0.00006802;0.00009621;0.00001264;10;10
fft;2;0.00053440;0.31413952;0.00000891;60;0.00043123;0.00082571;0.00019425;60;60
