init;1;0.00002921;0.02470658;0.00002921;1;0.00002788;0.00003091;0.00000128;1;1
setup;1;0.10833758;91.61984787;0.10833758;1;0.10569622;0.11040924;0.00221517;1;1
Field ;2;0.04869172;41.17802892;0.04869172;1;0.04840560;0.04905118;0.00029385;1;1
alloc_SwitchTopos field;3;0.00099056;0.83770117;0.00099056;1;0.00053070;0.00145776;0.00050379;1;1
alloc_data;3;0.00002133;0.01803621;0.00002133;1;0.00001924;0.00002689;0.00000372;1;1
alloc_plans;3;0.04767518;40.31835338;0.04767518;1;0.04702239;0.04819419;0.00049265;1;1
alloc_data;2;0.00005795;0.04900617;0.00005795;1;0.00004853;0.00007439;0.00001132;1;1
green;2;0.05958507;50.39040723;0.05958507;1;0.05681332;0.06184686;0.00221970;1;1
green Switchtopos;3;0.00362956;3.06947730;0.00362956;1;0.00097926;0.00569700;0.00222251;1;1
green deallocation;3;0.00012171;0.10293255;0.00012171;1;0.00010683;0.00015241;0.00002095;1;1
green_final;3;0.00000028;0.00023743;0.00000028;1;0.00000019;0.00000044;0.00000011;1;1
green_func;3;0.05581961;47.20600424;0.05581961;1;0.05546632;0.05612651;0.00030622;1;1
green_plan;3;0.00000035;0.00029874;0.00000035;1;0.00000027;0.00000055;0.00000013;1;1
solve;1;0.01245705;10.53478139;0.00124570;10;0.01242830;0.01252194;0.00004424;10;10
SwitchTopo;2;0.01136619;9.61225661;0.00018944;60;0.01105266;0.01155121;0.00022683;60;60
Switchtopo0_backward;3;0.00073760;0.62377982;0.00007376;10;0.00069805;0.00083217;0.00006331;10;10
send/recv;4;0.00073294;0.61983892;0.00007329;10;0.00069410;0.00082589;0.00006222;10;10
pre-send;5;0.00040147;0.33952067;0.00004015;10;0.00038258;0.00044323;0.00002806;10;10
copy;6;0.00007235;0.06118366;0.00000723;10;0.00005545;0.00012049;0.00003210;10;10
start;6;0.00014804;0.12519741;0.00000740;20;0.00012871;0.00019883;0.00003391;20;20
while loop;5;0.00032812;0.27748773;0.00003281;10;0.00030861;0.00037845;0.00003361;10;10
copy;6;0.00006978;0.05901405;0.00000698;10;0.00005566;0.00011141;0.00002775;10;10
shuffle;6;0.00000077;0.00065477;0.00000008;10;0.00000044;0.00000148;0.00000049;10;10
start;6;0.00000000;0.00000000;0.00000000;0;0.00000000;0.00000000;0.00000000;0;0
Switchtopo0_forward;3;0.00068942;0.58303646;0.00006894;10;0.00064429;0.00081746;0.00008543;10;10
send/recv;4;0.00068477;0.57910570;0.00006848;10;0.00063995;0.00081136;0.00008446;10;10
pre-send;5;0.00035768;0.30248184;0.00003577;10;0.00033038;0.00043122;0.00004907;10;10
copy;6;0.00007792;0.06589710;0.00000779;10;0.00006298;0.00012084;0.00002862;10;10
start;6;0.00014333;0.12121147;0.00000717;20;0.00012609;0.00018999;0.00003115;20;20
while loop;5;0.00032381;0.27384239;0.00003238;10;0.00030381;0.00037624;0.00003501;10;10
copy;6;0.00007245;0.06126802;0.00000724;10;0.00005624;0.00011687;0.00002967;10;10
shuffle;6;0.00000054;0.00045329;0.00000005;10;0.00000047;0.00000069;0.00000011;10;10
start;6;0.00000000;0.00000000;0.00000000;0;0.00000000;0.00000000;0.00000000;0;0
Switchtopo1_backward;3;0.00242522;2.05098401;0.00024252;10;0.00184721;0.00300532;0.00054651;10;10
send/recv;4;0.00238460;2.01663277;0.00023846;10;0.00180673;0.00295428;0.00054305;10;10
pre-send;5;0.00029698;0.25114855;0.00002970;10;0.00028176;0.00032443;0.00001962;10;10
copy;6;0.00007429;0.06282662;0.00000743;10;0.00005664;0.00011696;0.00002874;10;10
start;6;0.00005220;0.04414430;0.00000261;20;0.00003281;0.00008772;0.00002438;20;20
while loop;5;0.00208425;1.76262601;0.00020842;10;0.00150561;0.00262590;0.00053330;10;10
copy;6;0.00021390;0.18089403;0.00000713;30;0.00017157;0.00033171;0.00007862;30;30
shuffle;6;0.00016075;0.13594273;0.00000804;20;0.00012211;0.00027145;0.00007381;20;20
start;6;0.00014818;0.12531814;0.00001482;10;0.00012984;0.00019301;0.00003002;10;10
Switchtopo1_forward;3;0.00251581;2.12758922;0.00025158;10;0.00164008;0.00370718;0.00101278;10;10
send/recv;4;0.00247501;2.09308935;0.00024750;10;0.00160299;0.00366559;0.00101035;10;10
pre-send;5;0.00088724;0.75033119;0.00008872;10;0.00048913;0.00164367;0.00054147;10;10
copy;6;0.00007620;0.06443956;0.00000762;10;0.00006127;0.00011896;0.00002852;10;10
start;6;0.00064010;0.54132773;0.00003201;20;0.00023246;0.00140236;0.00054518;20;20
while loop;5;0.00158410;1.33965195;0.00015841;10;0.00109728;0.00274836;0.00078128;10;10
copy;6;0.00021267;0.17985532;0.00000709;30;0.00016881;0.00033535;0.00008182;30;30
shuffle;6;0.00016490;0.13945297;0.00000824;20;0.00012429;0.00027974;0.00007659;20;20
start;6;0.00014336;0.12124086;0.00001434;10;0.00012756;0.00018513;0.00002789;10;10
Switchtopo2_backward;3;0.00179221;1.51565030;0.00017922;10;0.00159907;0.00222219;0.00028946;10;10
send/recv;4;0.00175082;1.48065254;0.00017508;10;0.00155979;0.00218060;0.00028924;10;10
pre-send;5;0.00037810;0.31975630;0.00003781;10;0.00035305;0.00040305;0.00002057;10;10
copy;6;0.00007011;0.05929312;0.00000701;10;0.00005621;0.00010825;0.00002548;10;10
start;6;0.00005229;0.04421978;0.00000261;20;0.00003533;0.00008774;0.00002450;20;20
while loop;5;0.00136882;1.15759404;0.00013688;10;0.00117535;0.00180203;0.00029384;10;10
copy;6;0.00020724;0.17526323;0.00000691;30;0.00016309;0.00032519;0.00007875;30;30
shuffle;6;0.00016515;0.13966122;0.00000826;20;0.00012440;0.00028189;0.00007785;20;20
start;6;0.00014815;0.12528748;0.00001481;10;0.00013057;0.00018498;0.00002538;10;10
Switchtopo2_forward;3;0.00313423;2.65058031;0.00031342;10;0.00162681;0.00467356;0.00128064;10;10
send/recv;4;0.00309485;2.61728259;0.00030949;10;0.00158677;0.00463388;0.00128013;10;10
pre-send;5;0.00064508;0.54553778;0.00006451;10;0.00033009;0.00139153;0.00050043;10;10
copy;6;0.00007512;0.06352791;0.00000751;10;0.00006219;0.00011205;0.00002463;10;10
start;6;0.00039941;0.33777559;0.00001997;20;0.00009246;0.00114853;0.00050171;20;20
while loop;5;0.00244581;2.06838933;0.00024458;10;0.00125228;0.00423063;0.00143538;10;10
copy;6;0.00021297;0.18010839;0.00000710;30;0.00016902;0.00032921;0.00007773;30;30
shuffle;6;0.00016248;0.13740810;0.00000812;20;0.00012238;0.00027077;0.00007240;20;20
start;6;0.00014415;0.12190473;0.00001441;10;0.00013022;0.00018078;0.00002445;10;10
copy rhs;2;0.00033132;0.28019372;0.00001657;20;0.00029191;0.00042131;0.00006085;20;20
domagic;2;0.00008078;0.06831598;0.00000808;10;0.00005001;0.00014399;0.00004398;10;10
fft;2;0.00051066;0.43186097;0.00000851;60;0.00040327;0.00077232;0.00017575;60;60
