init;1;0.00004099;0.01372325;0.00004099;1;0.00002742;0.00005457;0.00001439;1;1
setup;1;0.29083280;97.37177458;0.29083280;1;0.28744144;0.29385555;0.00330087;1;1
Field ;2;0.11880365;39.77585024;0.11880365;1;0.11860144;0.11900081;0.00020685;1;1
alloc_SwitchTopos field;3;0.00125558;0.42037063;0.00125558;1;0.00068568;0.00177331;0.00055895;1;1
alloc_data;3;0.00002298;0.00769236;0.00002298;1;0.00001985;0.00002792;0.00000355;1;1
alloc_plans;3;0.11752021;39.34615283;0.11752021;1;0.11716468;0.11788275;0.00035163;1;1
alloc_data;2;0.00011787;0.03946234;0.00011787;1;0.00004269;0.00031423;0.00013161;1;1
green;2;0.17190846;57.55551509;0.17190846;1;0.16874569;0.17481974;0.00315558;1;1
green Switchtopos;3;0.00452568;1.51521259;0.00452568;1;0.00121545;0.00759742;0.00335381;1;1
green deallocation;3;0.00017860;0.05979536;0.00017860;1;0.00010725;0.00024588;0.00005686;1;1
green_final;3;0.00000021;0.00007115;0.00000021;1;0.00000017;0.00000023;0.00000003;1;1
green_func;3;0.16718710;55.97478886;0.16718710;1;0.16693029;0.16739886;0.00021411;1;1
green_plan;3;0.00000029;0.00009826;0.00000029;1;0.00000028;0.00000031;0.00000001;1;1
solve;1;0.00999469;3.34625651;0.00099947;10;0.00995085;0.01006108;0.00004722;10;10
SwitchTopo;2;0.00896324;3.00092241;0.00014939;60;0.00864725;0.00908366;0.00021108;60;60
Switchtopo0_backward;3;0.00070901;0.23738030;0.00007090;10;0.00067011;0.00081543;0.00007099;10;10
send/recv;4;0.00070464;0.23591520;0.00007046;10;0.00066629;0.00080964;0.00007004;10;10
pre-send;5;0.00038738;0.12969685;0.00003874;10;0.00036968;0.00043536;0.00003205;10;10
copy;6;0.00007018;0.02349658;0.00000702;10;0.00005510;0.00011394;0.00002918;10;10
start;6;0.00014617;0.04893820;0.00000731;20;0.00012840;0.00019734;0.00003412;20;20
while loop;5;0.00031360;0.10499431;0.00003136;10;0.00029368;0.00037086;0.00003818;10;10
copy;6;0.00007090;0.02373822;0.00000709;10;0.00005478;0.00011690;0.00003067;10;10
shuffle;6;0.00000045;0.00015108;0.00000005;10;0.00000039;0.00000050;0.00000005;10;10
start;6;0.00000000;0.00000000;0.00000000;0;0.00000000;0.00000000;0.00000000;0;0
Switchtopo0_forward;3;0.00067826;0.22708418;0.00006783;10;0.00062667;0.00082973;0.00010098;10;10
send/recv;4;0.00067365;0.22553998;0.00006736;10;0.00062260;0.00082383;0.00010012;10;10
pre-send;5;0.00035651;0.11936172;0.00003565;10;0.00032766;0.00043996;0.00005564;10;10
copy;6;0.00008273;0.02769727;0.00000827;10;0.00006236;0.00013860;0.00003729;10;10
start;6;0.00014156;0.04739592;0.00000708;20;0.00012609;0.00018570;0.00002943;20;20
while loop;5;0.00031359;0.10499213;0.00003136;10;0.00029080;0.00037858;0.00004333;10;10
copy;6;0.00007023;0.02351382;0.00000702;10;0.00005514;0.00011208;0.00002792;10;10
shuffle;6;0.00000047;0.00015778;0.00000005;10;0.00000038;0.00000054;0.00000007;10;10
start;6;0.00000000;0.00000000;0.00000000;0;0.00000000;0.00000000;0.00000000;0;0
Switchtopo1_backward;3;0.00170339;0.57030048;0.00017034;10;0.00129790;0.00206947;0.00032229;10;10
send/recv;4;0.00166460;0.55731337;0.00016646;10;0.00126287;0.00202967;0.00032071;10;10
pre-send;5;0.00028774;0.09633621;0.00002877;10;0.00026487;0.00035110;0.00004227;10;10
copy;6;0.00007343;0.02458435;0.00000734;10;0.00005697;0.00011706;0.00002916;10;10
start;6;0.00005397;0.01806799;0.00000270;20;0.00002946;0.00011392;0.00004040;20;20
while loop;5;0.00137384;0.45996530;0.00013738;10;0.00099117;0.00176068;0.00033024;10;10
copy;6;0.00021394;0.07162806;0.00000713;30;0.00016892;0.00033633;0.00008165;30;30
shuffle;6;0.00015705;0.05257960;0.00000785;20;0.00011951;0.00026447;0.00007163;20;20
start;6;0.00014383;0.04815325;0.00001438;10;0.00012871;0.00018256;0.00002588;10;10
Switchtopo1_forward;3;0.00199807;0.66896039;0.00019981;10;0.00156453;0.00275327;0.00052799;10;10
send/recv;4;0.00195605;0.65489137;0.00019560;10;0.00153185;0.00270746;0.00052404;10;10
pre-send;5;0.00050359;0.16860526;0.00005036;10;0.00046094;0.00055345;0.00004371;10;10
copy;6;0.00007443;0.02492091;0.00000744;10;0.00006001;0.00011606;0.00002775;10;10
start;6;0.00027105;0.09075002;0.00001355;20;0.00023371;0.00031583;0.00003952;20;20
while loop;5;0.00144900;0.48512928;0.00014490;10;0.00105502;0.00224334;0.00054351;10;10
copy;6;0.00020957;0.07016330;0.00000699;30;0.00016867;0.00032853;0.00007933;30;30
shuffle;6;0.00016341;0.05471096;0.00000817;20;0.00012430;0.00027306;0.00007312;20;20
start;6;0.00014114;0.04725288;0.00001411;10;0.00012624;0.00018102;0.00002661;10;10
