init;1;0.00002967;0.00569551;0.00002967;1;0.00002775;0.00003264;0.00000220;1;1
setup;1;0.14684124;28.18981717;0.14684124;1;0.14385582;0.15025661;0.00342450;1;1
Field ;2;0.07317709;14.04815759;0.07317709;1;0.06688799;0.07932414;0.00556088;1;1
alloc_SwitchTopos field;3;0.01323598;2.54097451;0.01323598;1;0.01107555;0.01496779;0.00198905;1;1
alloc_data;3;0.00164797;0.31636909;0.00164797;1;0.00021148;0.00359924;0.00169238;1;1
alloc_plans;3;0.05828701;11.18963723;0.05828701;1;0.05233732;0.06418104;0.00525636;1;1
alloc_data;2;0.00053529;0.10276205;0.00053529;1;0.00020027;0.00086168;0.00036773;1;1
green;2;0.07312485;14.03812930;0.07312485;1;0.06979152;0.07611859;0.00265256;1;1
green Switchtopos;3;0.01707707;3.27836651;0.01707707;1;0.01380074;0.02082867;0.00379202;1;1
green deallocation;3;0.00648250;1.24447697;0.00648250;1;0.00118919;0.01194794;0.00521387;1;1
green_final;3;0.00000020;0.00003897;0.00000020;1;0.00000016;0.00000025;0.00000004;1;1
green_func;3;0.04955150;9.51263878;0.04955150;1;0.04873094;0.05033616;0.00082997;1;1
green_plan;3;0.00000036;0.00006834;0.00000036;1;0.00000031;0.00000040;0.00000004;1;1
solve;1;0.36622360;70.30570239;0.03662236;10;0.35794899;0.37693647;0.00807169;10;10
SwitchTopo;2;0.21524874;41.32233329;0.00358748;60;0.21050967;0.22320907;0.00579118;60;60
Switchtopo0_backward;3;0.01263000;2.42464181;0.00126300;10;0.01241249;0.01271917;0.00014579;10;10
send/recv;4;0.01262420;2.42352917;0.00126242;10;0.01240832;0.01271472;0.00014485;10;10
pre-send;5;0.00738594;1.41791478;0.00073859;10;0.00727922;0.00743392;0.00007169;10;10
copy;6;0.00007075;0.01358270;0.00000708;10;0.00005495;0.00011116;0.00002707;10;10
start;6;0.00158075;0.30346412;0.00007904;20;0.00155725;0.00164396;0.00004219;20;20
while loop;5;0.00523438;1.00486891;0.00052344;10;0.00512547;0.00528014;0.00007348;10;10
copy;6;0.00007096;0.01362268;0.00000710;10;0.00005635;0.00011426;0.00002887;10;10
shuffle;6;0.00000069;0.00013313;0.00000007;10;0.00000059;0.00000077;0.00000008;10;10
start;6;0.00000000;0.00000000;0.00000000;0;0.00000000;0.00000000;0.00000000;0;0
Switchtopo0_forward;3;0.01129553;2.16845768;0.00112955;10;0.01110681;0.01147778;0.00015947;10;10
send/recv;4;0.01128919;2.16724027;0.00112892;10;0.01110110;0.01146966;0.00015856;10;10
pre-send;5;0.00590273;1.13317622;0.00059027;10;0.00579656;0.00603296;0.00009943;10;10
copy;6;0.00011769;0.02259323;0.00001177;10;0.00009247;0.00018119;0.00004247;10;10
start;6;0.00163601;0.31407197;0.00008180;20;0.00159911;0.00173254;0.00006444;20;20
while loop;5;0.00538046;1.03291292;0.00053805;10;0.00529473;0.00543549;0.00006657;10;10
copy;6;0.00007924;0.01521266;0.00000792;10;0.00006214;0.00012723;0.00003200;10;10
shuffle;6;0.00000202;0.00038712;0.00000020;10;0.00000175;0.00000223;0.00000020;10;10
start;6;0.00000000;0.00000000;0.00000000;0;0.00000000;0.00000000;0.00000000;0;0
Switchtopo1_backward;3;0.04490659;8.62093331;0.00449066;10;0.04427814;0.04590932;0.00072451;10;10
send/recv;4;0.04486581;8.61310462;0.00448658;10;0.04423979;0.04586760;0.00072321;10;10
pre-send;5;0.00379690;0.72890935;0.00037969;10;0.00376445;0.00385091;0.00004114;10;10
copy;6;0.00007197;0.01381715;0.00000720;10;0.00005741;0.00011403;0.00002805;10;10
start;6;0.00005937;0.01139817;0.00000297;20;0.00003976;0.00011304;0.00003581;20;20
while loop;5;0.04106390;7.88323314;0.00410639;10;0.04046885;0.04209969;0.00074135;10;10
copy;6;0.00021790;0.04183107;0.00000726;30;0.00017369;0.00034002;0.00008149;30;30
shuffle;6;0.00015999;0.03071357;0.00000800;20;0.00012101;0.00027574;0.00007717;20;20
start;6;0.00087227;0.16745467;0.00008723;10;0.00084545;0.00091389;0.00002932;10;10
Switchtopo1_forward;3;0.05090288;9.77207108;0.00509029;10;0.04637927;0.05773580;0.00536017;10;10
send/recv;4;0.05084817;9.76156761;0.00508482;10;0.04632504;0.05768410;0.00536183;10;10
pre-send;5;0.00462081;0.88707878;0.00046208;10;0.00454744;0.00467824;0.00005908;10;10
copy;6;0.00007766;0.01490900;0.00000777;10;0.00006169;0.00012470;0.00003136;10;10
start;6;0.00086184;0.16545108;0.00004309;20;0.00083300;0.00091568;0.00003838;20;20
while loop;5;0.04622305;8.87365978;0.00462230;10;0.04177402;0.05302130;0.00531378;10;10
copy;6;0.00022155;0.04253235;0.00000739;30;0.00017673;0.00035189;0.00008691;30;30
shuffle;6;0.00018911;0.03630483;0.00000946;20;0.00014530;0.00031108;0.00008135;20;20
start;6;0.00087673;0.16831021;0.00008767;10;0.00086034;0.00091979;0.00002874;10;10
Switchtopo2_backward;3;0.04742954;9.10527594;0.00474295;10;0.04671227;0.04783164;0.00050500;10;10
send/recv;4;0.04738589;9.09689614;0.00473859;10;0.04666388;0.04779166;0.00050820;10;10
pre-send;5;0.00700793;1.34534648;0.00070079;10;0.00692784;0.00709765;0.00006969;10;10
